Name,Position,School,Division,Type,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Games Started (GS),Innings Pitched (IP),Wins (W),Losses (L),Earned Runs (ER),Hits Allowed (H),Walks Allowed (BB),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Hayden Wilcox,RHP,Wheeling Jesuit University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,5,3,7.2,0,1,14,14,5,16.43,0,4
Hayden Zweig,RHP,Pasadena City College,California CC,A,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,0,6.1,0,0,4,8,3,5.68,0,11
Hilo Yamamoto,IF,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Holden Cumiskey,C,Cuesta College,California CC,A,25,98,16,30,6,2,0,24,1,0.306,0.382,0.408,0.79,0,0,0.0,0,0,0,0,0,0.0,0,0
Hunter Campese,LHP,Pensacola State,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,2.1,0,0,3,3,6,11.57,0,2
Hunter Canning,RHP,Panola,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Hunter Houston,OF,Southwestern,JUCO: Division 1,A,16,38,4,11,3,2,0,13,0,0.289,0.364,0.474,0.838,0,0,0.0,0,0,0,0,0,0.0,0,0
Hunter James,3B,University of Northwestern Ohio,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Hunter Jones,RHP,Ventura College,California CC,A,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,3,23.0,1,3,20,26,18,7.83,0,17
Isaiah St. Bernard,RHP,Cayuga,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Jaberi Smith,OF,Niagara County,JUCO: Division 3,A,4,4,5,2,0,1,0,3,2,0.5,0.714,1.0,1.714,0,0,0.0,0,0,0,0,0,0.0,0,0
Jack Anderson,LHP,Fairfield University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,8,1,10.1,0,1,7,14,10,6.1,1,9
Jack Liddell,P,Southern Arkansas University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,6,2,10.1,0,1,6,12,5,5.23,0,10
Jack Marlin,UTL,Midway University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jack Moir,C,Itasca,JUCO: Division 3,A,3,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Jack Moncur,IF,Rensselaer Polytechnic Institute,NCAA: Division 3,H,15,50,13,12,3,0,0,9,1,0.24,0.391,0.3,0.691,0,0,,0,0,0,0,0,,0,0
Jack Mount,RHP,Cloud County,JUCO: Division 1,A,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,5,24.2,1,1,12,23,10,4.38,0,32
Jack Neil,RHP,Allen County,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,6.0,1,1,2,6,3,3.0,0,10
Jack Rea,INF,Colorado Northwestern,JUCO: Division 1,A,18,33,7,5,0,0,0,8,0,0.152,0.356,0.152,0.508,0,0,0.0,0,0,0,0,0,0.0,0,0
Jack Taylor,INF,Rend Lake,JUCO: Division 1,A,10,22,6,9,2,0,1,1,3,0.409,0.552,0.636,1.188,0,0,0.0,0,0,0,0,0,0.0,0,0
Jack Williams,C,Monroe CC,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Jackson Clemett,OF,University of Utah,NCAA: Division 1,H,8,17,3,2,0,0,0,0,0,0.118,0.375,0.118,0.493,0,0,,0,0,0,0,0,,0,0
Jackson Fraser,RHP,LSU Eunice,JUCO: Division 2,A,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,0,7.0,0,1,3,8,6,3.86,0,9
Jackson Hogg,OF,Marian University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jackson Painter,,Bluefield State College,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,5,0,4.1,0,0,6,4,5,12.46,0,7
Jackson Stephen,OF/P,Morningside College,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jacob Bonzon,IF/OF,Roanoke College,NCAA: Division 3,H,20,61,14,20,4,1,1,14,10,0.328,0.438,0.475,0.913,0,0,,0,0,0,0,0,,0,0
Jacob Carroll,C,Henderson State University,NCAA: Division 2,H,20,57,11,13,3,0,1,12,3,0.228,0.292,0.333,0.625,0,0,,0,0,0,0,0,,0,0
Jacob Corby,RHP,Three Rivers,JUCO: Division 1,A,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,1,10.2,0,1,11,17,8,9.28,0,7
Jacob Douglas,RHP,Fort Hays State University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,6,0,7.0,0,0,12,13,4,15.43,0,9
Jacob Gajic,LHP,Northwest Missouri State University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,14,0,26.2,0,1,8,24,10,2.7,3,28
Jacob Jackson,INF,Siena Heights University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jacob Kush,RHP,University of Missouri,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,3,1,6.0,1,0,5,5,5,7.5,0,6
Jacob Mahoney,"IF,C",Lake Michigan,JUCO: Division 2,A,13,42,5,12,2,0,0,6,0,0.286,0.362,0.333,0.695,0,0,0.0,0,0,0,0,0,0.0,0,0
Jacob Potter,RHP,Southeastern Oklahoma State University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,8,6,29.1,1,1,28,41,6,8.59,0,26
Jaden Babiuk,C/INF,Valley City State University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jaden Brown,INF,University of Texas at Arlington,NCAA: Division 1,H,16,43,5,11,2,0,0,5,0,0.256,0.373,0.302,0.675,0,0,,0,0,0,0,0,,0,0
Jaden Griffin,LHP,Virginia Commonwealth University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,8,0,14.2,3,1,8,11,10,4.91,0,16
Jaden Hofmann,RHP,Minot State University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,,,,0,0
Jaden Humphreys,C,St. Olaf College,NCAA: Division 3,H,1,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Jaden Lamothe,3B,Parkland,JUCO: Division 2,A,15,40,4,9,0,0,2,10,2,0.225,0.295,0.375,0.67,0,0,0.0,0,0,0,0,0,0.0,0,0
Jake Bucovetsky,1B,Highland (KS),JUCO: Division 1,A,29,92,24,37,10,1,7,28,1,0.402,0.486,0.761,1.247,0,0,0.0,0,0,0,0,0,0.0,0,0
Jake Ervin,OF/1B,Texas Wesleyan University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jake Richmond-Benner,LHP,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jakob Newton,OF,Florida Institute of Technology,NCAA: Division 2,H,33,138,32,49,10,3,2,41,7,0.355,0.425,0.514,0.939,0,0,,0,0,0,0,0,,0,0
James Cabral,OF,University of Antelope Valley,NAIA,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
James Dutton,OF,Indian Hills,JUCO: Division 1,A,14,36,12,16,3,3,1,13,7,0.444,0.556,0.778,1.334,0,0,0.0,0,0,0,0,0,0.0,0,0
James Mitchell,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Jameson Hart,UT,William Penn University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jared Arnold,RHP,Colby,JUCO: Division 1,A,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2,15.2,2,0,6,14,12,3.45,0,10
Jared Binsfeld,OF,University of Sioux Falls,NCAA: Division 2,H,17,57,8,12,1,0,1,6,0,0.211,0.297,0.281,0.578,0,0,,0,0,0,0,0,,0,0
Jared Eifler,RHP,Shoreline,NW Athletic Conference,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,10.1,0,1,7,10,10,6.1,0,9
Jared McCorrister,IF/C,Mayville State University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jarod Leroux,RHP,Southwestern Oklahoma State University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,3,0,4.2,0,0,8,5,8,15.43,0,3
Jaryd Lund,LHP,Salem University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,7,7,40.2,2,2,28,46,16,6.2,0,55
Jason Chiu,IF,Bryan College,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jason Kauffeldt,OF,Houghton College,NCAA: Division 3,H,18,61,22,18,4,1,0,5,18,0.295,0.434,0.393,0.827,0,0,,0,0,0,0,0,,0,0
Jason Willow,OF/INF,"University of California, Santa Barbara",NCAA: Division 1,H,21,76,14,22,2,2,1,9,6,0.289,0.357,0.408,0.765,0,0,,0,0,0,0,0,,0,0
Jaxson Smith-Peterson,RHP,Minnesota West,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Jaycob Lachance,RHP,Frontier,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,5.1,0,2,8,7,2,13.5,0,4
Jayden Cull,C-2B-OF,Lyon College,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jayden Mah,C/INF,Missouri Valley College,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jayden Wakeham,C,Northern Kentucky University,NCAA: Division 1,H,19,74,11,19,4,0,2,10,0,0.257,0.321,0.392,0.713,0,0,,0,0,0,0,0,,0,0
Jaydon Gartner,UTL/RHP,University of Mount Olive,NCAA: Division 2,H,16,19,1,3,0,0,0,3,1,0.158,0.32,0.158,0.478,0,0,,0,0,0,0,0,,0,0
Jeff Liddell,RHP,Connors State,JUCO: Division 1,A,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,0,9.0,1,0,4,11,1,4.0,1,13
Jeremy Williams,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Jesse Kool,MIF,West Virginia University Institute of Technology,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jesse Simpson,RHP,Shorter University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,8,1,10.1,1,2,16,18,7,13.94,0,8
Jesse Skelton,,Dakota,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Joe Guzzo,LHP,Jackson,JUCO: Division 2,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,4.0,0,3,12,7,9,27.0,0,1
Joel Connors,RHP/INF,St. Andrews University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Joel McGrath,RHP,Colby,JUCO: Division 1,A,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,1,13.1,0,1,7,10,8,4.73,2,18
Joel Robinson,RHP,Allen County,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2.0,0,0,6,3,5,27.0,0,1
Joel Suraganan,IF,Marshalltown,JUCO: Division 1,A,17,49,9,12,3,0,0,4,1,0.245,0.327,0.306,0.633,0,0,0.0,0,0,0,0,0,0.0,0,0
John Vulcano,IF,Colby,JUCO: Division 1,A,22,68,22,16,2,1,5,18,0,0.235,0.325,0.515,0.84,0,0,0.0,0,0,0,0,0,0.0,0,0
Jonah Bachiu,IF,Cuesta College,California CC,A,5,15,0,1,0,0,0,0,0,0.067,0.176,0.067,0.243,0,0,0.0,0,0,0,0,0,0.0,0,0
Jonah Offman,RHP,Johns Hopkins University,NCAA: Division 3,P,0,0,0,0,0,0,0,0,0,,,,,6,0,11.0,0,2,6,17,9,4.91,0,10
Jonah Weisner,INF,Ottawa University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jonathan Henry,RHP/OF,Albany State University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,7,7,46.0,6,0,16,42,20,3.13,0,41
Jonathan Henry,RHP/OF,Albany State University,NCAA: Division 2,H,7,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Jonathan Thibodeau,C,University of West Alabama,NCAA: Division 2,H,23,70,8,23,2,0,0,8,0,0.329,0.434,0.357,0.791,0,0,,0,0,0,0,0,,0,0
Jonathon Foti,RHP/IF,Lewis & Clark,JUCO: Division 2,A,7,11,1,4,0,0,0,4,1,0.364,0.5,0.364,0.864,2,0,2.0,0,0,2,2,4,9.0,0,3
Jonny Baileys,OF/INF,Ventura College,California CC,A,4,6,0,3,1,0,0,0,0,0.5,0.625,0.667,1.292,0,0,0.0,0,0,0,0,0,0.0,0,0
Jonny McGill,OF,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jordan Bach,C,Saint Xavier University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jordan Bahnuk,RHP,Southwestern Christian University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jordan Glazer,OF,Post University,NCAA: Division 2,H,7,26,3,6,1,1,0,2,0,0.231,0.259,0.346,0.605,0,0,,0,0,0,0,0,,0,0
Jordan Lussier,RHP,Illinois State University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,5,4,13.2,1,1,7,9,12,4.61,0,10
Jordan MacDonald,1B,American International College,NCAA: Division 2,H,1,1,0,1,0,0,0,1,0,1.0,1.0,1.0,2.0,0,0,,0,0,0,0,0,,0,0
Jordan Peck,LHP/OF,Northwest Missouri State University,NCAA: Division 2,H,10,17,1,4,1,0,1,4,0,0.235,0.316,0.471,0.787,0,0,,0,0,0,0,0,,0,0
Jordan Spring,RHP,Bossier Parish,JUCO: Division 1,A,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,4.1,0,0,5,5,6,10.38,0,4
Joseph Karall,RHP,Southeast Missouri State University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,1,0,1.1,0,0,2,3,0,13.5,0,0
Joseph Sinclair,LHP,University of Mary,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,5,4,17.2,1,1,16,14,18,8.15,0,18
Josh Cleggett,C,Arizona Western,JUCO: Division 1,A,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Josh Evans,RHP,Mohawk Valley,JUCO: Division 3,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,6.1,0,0,1,5,2,1.42,0,9
Josh Fluet,RHP,Allen County,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,14.2,1,1,7,16,4,4.3,0,19
Josh Gerhardt,3B,Trinidad State,JUCO: Division 1,A,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11,0,30.1,3,1,10,28,8,2.97,1,39
Josh Hare,INF,Lourdes University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Josh Ironside,RHP,Marshalltown,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,16.1,1,3,15,25,12,8.27,0,8
Josh Marchese,1B/DH,Niagara University,NCAA: Division 1,H,18,58,5,13,1,0,4,8,0,0.224,0.292,0.448,0.74,0,0,,0,0,0,0,0,,0,0
Josh Myers,OF,The College of Saint Rose,NCAA: Division 2,H,15,38,2,12,2,0,1,7,0,0.316,0.4,0.447,0.847,0,0,,0,0,0,0,0,,0,0
Josh Niles,IF,Canisius College,NCAA: Division 1,H,13,41,4,10,1,1,0,11,0,0.244,0.267,0.317,0.584,0,0,,0,0,0,0,0,,0,0
Josh Stark,OF,Williston State,JUCO: Division 2,A,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Josh Walker,OF,Sacramento State University,NCAA: Division 1,H,11,33,10,9,1,0,2,4,0,0.273,0.359,0.485,0.844,0,0,,0,0,0,0,0,,0,0
Josh Wynette,LHP,Dawson,JUCO: Division 2,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1.2,0,1,0,3,1,0.0,0,1
Joshua Cossitt,C,Sullivan County,JUCO: Division 2,A,7,12,1,3,1,0,0,3,0,0.25,0.308,0.333,0.641,0,0,0.0,0,0,0,0,0,0.0,0,0
Joshua Pilgrim,,John Wood,JUCO: Division 2,A,10,19,2,2,1,0,0,1,0,0.105,0.25,0.158,0.408,0,0,0.0,0,0,0,0,0,0.0,0,0
Josiah Stairs,LHP,Cornerstone University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Jude Hall,OF,Yavapai,JUCO: Division 1,A,27,17,17,1,0,0,0,2,13,0.059,0.292,0.059,0.351,0,0,0.0,0,0,0,0,0,0.0,0,0
Julian Parson,RHP,"University of South Carolina, Upstate",NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,4,0,4.1,1,0,4,4,3,8.31,0,2
Julian Russell,P/INF,Alderson Broaddus University,NCAA: Division 2,H,13,17,4,3,0,0,0,2,0,0.176,0.263,0.176,0.439,0,0,,0,0,0,0,0,,0,0
Julian Russell,P/INF,Alderson Broaddus University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,8,2,13.2,0,2,19,19,14,12.51,0,15
Julien Giroux-Harvey,RHP,University of Hartford,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,6,0,8.1,0,0,8,10,11,8.64,0,8
Julien Giroux-Harvey,RHP,University of Hartford,NCAA: Division 1,H,6,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Julio Vasquez,C,Howard (TX),JUCO: Division 1,A,12,24,3,4,1,0,0,2,2,0.167,0.286,0.208,0.494,0,0,0.0,0,0,0,0,0,0.0,0,0
Justen Tehse,LHP,Williston State,JUCO: Division 2,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1.0,0,0,0,0,3,0.0,0,2
Justin Breen,IF,Bossier Parish,JUCO: Division 1,A,26,73,16,20,7,1,4,19,1,0.274,0.432,0.562,0.994,0,0,0.0,0,0,0,0,0,0.0,0,0
Justin Carinci,C,Mineral Area,JUCO: Division 1,A,20,81,14,25,3,0,1,6,8,0.309,0.349,0.383,0.732,0,0,0.0,0,0,0,0,0,0.0,0,0
Justin Humenay,RHP,Virginia Commonwealth University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,2,0,1.2,0,0,3,3,2,16.2,0,4
Justin Pisano,RHP,Salem University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,,,,0,0
Justin Rogers,2B,East Central (MO),JUCO: Division 2,A,6,8,4,3,0,0,0,1,2,0.375,0.444,0.375,0.819,0,0,0.0,0,0,0,0,0,0.0,0,0
Justin Thorsteinson,UT,Oregon State University,NCAA: Division 1,H,4,1,0,1,0,0,0,0,0,1.0,1.0,1.0,2.0,0,0,,0,0,0,0,0,,0,0
Justin Willis,,Clark,NW Athletic Conference,A,5,13,3,6,1,0,0,2,0,0.462,0.462,0.538,1.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Kaden Gray,C,Harper,JUCO: Division 3,A,14,37,20,13,5,1,1,6,3,0.351,0.468,0.622,1.09,0,0,0.0,0,0,0,0,0,0.0,0,0
Kaden Zarowny,OF,Crowder,JUCO: Division 1,A,10,25,6,6,0,0,0,6,1,0.24,0.296,0.24,0.536,0,0,0.0,0,0,0,0,0,0.0,0,0
Kaedan Thompson,IF,Southwestern,JUCO: Division 1,A,3,9,2,2,0,0,0,2,0,0.222,0.3,0.222,0.522,0,0,0.0,0,0,0,0,0,0.0,0,0
Kaiden Cardoso,1B/3B,Minot State University,NCAA: Division 2,H,23,80,15,28,9,1,1,19,3,0.35,0.448,0.525,0.973,0,0,,0,0,0,0,0,,0,0
Kaiden Zacharias,OF,Asbury University,NCAA: Division 3,H,9,28,8,9,4,0,0,4,3,0.321,0.486,0.464,0.95,0,0,,0,0,0,0,0,,0,0
Kale Seitz,UTIL,Campbellsville University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Kayden Beauregard,C,Illinois State University,NCAA: Division 1,H,4,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,,0,0
Kayne McGee,IF,West Liberty University,NCAA: Division 2,H,17,42,2,8,3,0,0,6,0,0.19,0.286,0.262,0.548,0,0,,0,0,0,0,0,,0,0
Keegan Pulford-Thorpe,LHP,Georgia Highlands,JUCO: Division 1,A,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,4.1,0,0,2,1,6,4.15,0,4
Kelan Polard,C,Wake Tech,JUCO: Division 2,A,12,28,2,6,0,1,0,4,0,0.214,0.267,0.286,0.553,0,0,0.0,0,0,0,0,0,0.0,0,0
Kellan Tulio,RHP,Penn State University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,5,4,14.1,1,1,6,9,7,3.77,1,13
Kendall Keller,OF,University of Mary,NCAA: Division 2,H,16,46,12,11,1,0,1,3,2,0.239,0.368,0.326,0.694,0,0,,0,0,0,0,0,,0,0
Kenneth Muise,LHP,Williston State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Kenneth Sugi,OF,Kaskaskia,JUCO: Division 1,A,16,43,4,10,1,0,0,5,2,0.233,0.313,0.256,0.569,0,0,0.0,0,0,0,0,0,0.0,0,0
Kenny DiClemente,IF/OF,Crowder,JUCO: Division 1,A,22,61,23,19,7,0,1,16,4,0.311,0.506,0.475,0.981,0,0,0.0,0,0,0,0,0,0.0,0,0
Kevin Akiyama,OF/C,Lakeland,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Kevin Campbell,P,Onondaga,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Kevin Millar,P,"University of St. Thomas, Minnesota",NCAA: Division 3,P,0,0,0,0,0,0,0,0,0,,,,,3,0,2.2,0,0,1,2,2,3.38,0,4
Kevin Morgan,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Kevin Spooner,RHP,Three Rivers,JUCO: Division 1,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,2.1,0,0,4,7,1,15.43,0,3
Kevin Thompson,3B/OF,Salem University,NCAA: Division 2,H,4,5,1,0,0,0,0,0,0,0.0,0.286,0.0,0.286,0,0,,0,0,0,0,0,,0,0
Kevin Zhang,RHP,Cedarville University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,6,1,15.2,0,1,11,27,9,6.32,0,15
Khalid Collymore,OF,University of Montevallo,NCAA: Division 2,H,15,31,10,11,0,0,3,11,2,0.355,0.378,0.645,1.023,0,0,,0,0,0,0,0,,0,0
Kian Johnston,1B/OF,Eastern New Mexico University,NCAA: Division 2,H,6,17,0,3,1,0,0,3,0,0.176,0.176,0.235,0.411,0,0,,0,0,0,0,0,,0,0
Kieran Gagnon,OF,Gannon University,NCAA: Division 2,H,10,33,5,8,2,1,0,7,8,0.242,0.342,0.364,0.706,0,0,,0,0,0,0,0,,0,0
Kobe Fredland,RHP,Williston State,JUCO: Division 2,A,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,0,10.2,1,0,7,11,11,5.91,0,18
Kole Jessamine,RHP,Lake Region State,JUCO: Division 2,A,17,60,17,24,5,1,0,16,3,0.4,0.479,0.517,0.996,4,3,15.2,0,1,10,18,11,5.74,1,14
Kole Turner,RHP/INF,Three Rivers,JUCO: Division 1,A,31,97,20,27,8,1,2,14,6,0.278,0.366,0.443,0.809,3,0,2.1,0,0,0,0,4,0.0,1,1
Kye Seitz,1B,Campbellsville University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Kyle Baumgardt,RHP,Columbia Basin,NW Athletic Conference,A,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,6.0,0,0,3,7,4,4.5,0,4
Kyle Bloor,RHP,Tennessee Wesleyan University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Kyle Blunt,P,D'Youville College,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,4,0,4.2,1,0,4,10,5,7.71,0,4
Kyle Espineli,INF,Notre Dame College,NCAA: Division 2,H,19,65,7,23,7,1,0,9,0,0.354,0.386,0.492,0.878,0,0,,0,0,0,0,0,,0,0
